,ID,Name,Nationality,Club,Position,Preferred Foot,Value,Wage,Age,International Reputation,Crossing,HeadingAccuracy,Dribbling,LongPassing,BallControl,Agility,Stamina,Interceptions,Penalties,Overall
22,167495,M. Neuer,Germany,FC Bayern München,GK,Right,38M,130000,32,5,15,25,30,59,48,51,43,30,47,89
23,153079,S. Agüero,Argentina,Manchester City,ST,Right,64.5M,300000,30,4,70,77,89,64,89,86,76,24,83,89
24,138956,G. Chiellini,Italy,Juventus,LCB,Left,27M,215000,33,4,58,83,58,59,57,54,65,88,50,89
25,231747,K. Mbappé,France,Paris Saint-Germain,RM,Right,81M,100000,19,3,77,77,90,73,91,92,83,38,70,88
26,209331,M. Salah,Egypt,Liverpool,RM,Left,69.5M,255000,26,3,78,59,89,72,88,91,84,55,61,88
27,200145,Casemiro,Brazil,Real Madrid,CDM,Right,59.5M,285000,26,3,52,76,69,82,78,62,87,87,66,88
28,198710,J. Rodríguez,Colombia,FC Bayern München,LAM,Left,69.5M,315000,26,4,90,62,85,83,90,83,70,55,81,88
29,198219,L. Insigne,Italy,Napoli,LW,Right,62M,165000,27,3,86,56,90,78,93,94,75,26,61,88
30,197781,Isco,Spain,Real Madrid,LW,Right,73.5M,315000,26,3,75,55,94,83,95,87,70,64,76,88
31,190460,C. Eriksen,Denmark,Tottenham Hotspur,CAM,Right,73.5M,205000,26,3,88,52,84,88,91,79,92,56,67,88
32,189242,Coutinho,Brazil,FC Barcelona,LW,Right,69.5M,340000,26,3,79,48,91,83,92,92,79,49,70,88
33,188567,P. Aubameyang,Gabon,Arsenal,LM,Right,59M,265000,29,3,77,79,79,64,82,76,76,48,76,88
34,178603,M. Hummels,Germany,FC Bayern München,LCB,Right,46M,160000,29,4,64,87,68,85,81,63,66,92,68,88
35,176676,Marcelo,Brazil,Real Madrid,LB,Left,43M,285000,30,4,90,75,90,76,92,86,91,85,59,88
36,173731,G. Bale,Wales,Real Madrid,ST,Left,60M,355000,28,4,87,84,87,80,85,82,75,59,76,88
37,167948,H. Lloris,France,Tottenham Hotspur,GK,Left,36M,150000,31,4,13,10,10,50,34,55,41,27,40,88
38,167664,G. Higuaín,Argentina,Milan,LS,Right,57M,245000,30,4,68,80,84,59,85,75,70,20,70,88
39,164240,Thiago Silva,Brazil,Paris Saint-Germain,RCB,Right,24M,165000,33,4,60,81,62,80,80,68,74,89,60,88
40,162835,S. Handanovič,Slovenia,Inter,GK,Right,30M,110000,33,3,12,10,12,34,16,47,41,22,23,88
41,1179,G. Buffon,Italy,Paris Saint-Germain,GK,Right,4M,77000,40,4,13,13,26,35,28,55,39,28,22,88
42,205600,S. Umtiti,France,FC Barcelona,CB,Left,57M,205000,24,3,69,79,69,73,77,68,78,87,61,87
43,201399,M. Icardi,Argentina,Inter,ST,Right,64.5M,130000,25,3,46,91,77,54,81,76,72,22,82,87
44,201024,K. Koulibaly,Senegal,Napoli,LCB,Right,51M,115000,27,3,30,81,66,56,60,50,71,88,33,87
45,195864,P. Pogba,France,Manchester United,RDM,Right,64M,210000,25,4,80,73,87,90,90,74,88,66,81,87
46,193041,K. Navas,Costa Rica,Real Madrid,GK,Right,30.5M,195000,31,3,11,11,16,37,19,60,39,20,25,87
47,192505,R. Lukaku,Belgium,Manchester United,ST,Left,62.5M,230000,25,3,78,86,80,73,72,60,84,27,78,87
48,192387,C. Immobile,Italy,Lazio,ST,Right,52M,115000,28,3,55,81,83,49,83,77,80,40,78,87
49,189332,Jordi Alba,Spain,FC Barcelona,LB,Left,38M,250000,29,3,87,70,80,74,84,90,91,84,59,87
50,175943,D. Mertens,Belgium,Napoli,RF,Right,45M,135000,31,3,77,35,91,74,89,94,75,36,79,87
51,172871,J. Vertonghen,Belgium,Tottenham Hotspur,LCB,Left,34M,155000,31,3,68,80,71,74,76,61,75,89,66,87
52,171877,M. Hamšík,Slovakia,Napoli,LCM,Right,46.5M,125000,30,3,78,74,86,83,87,76,84,72,70,87
53,168651,I. Rakitić,Croatia,FC Barcelona,RCM,Right,46.5M,260000,30,4,84,58,84,90,87,72,84,75,82,87
54,152729,Piqué,Spain,FC Barcelona,RCB,Right,34M,240000,31,4,57,83,59,80,78,58,65,88,69,87
55,222492,L. Sané,Germany,Manchester City,LW,Left,61M,195000,22,2,83,72,88,64,85,88,79,34,71,86
56,218667,Bernardo Silva,Portugal,Manchester City,RW,Left,59.5M,180000,23,2,85,51,92,79,91,90,78,49,68,86
57,210257,Ederson,Brazil,Manchester City,GK,Left,41.5M,125000,24,2,20,14,23,58,37,60,41,25,17,86
58,208722,S. Mané,Senegal,Liverpool,LM,Right,52M,195000,26,3,73,62,87,71,86,91,84,35,71,86
59,203376,V. van Dijk,Netherlands,Liverpool,LCB,Right,44.5M,165000,26,3,53,82,70,78,73,61,71,86,62,86
60,202652,R. Sterling,England,Manchester City,RW,Right,56.5M,195000,23,3,77,38,88,69,87,93,78,30,69,86
61,201942,Roberto Firmino,Brazil,Liverpool,CAM,Right,53M,195000,26,3,72,77,87,75,88,80,90,58,72,86
62,201535,R. Varane,France,Real Madrid,RCB,Right,50M,210000,25,3,36,83,57,76,77,63,73,82,43,86
63,199556,M. Verratti,Italy,Paris Saint-Germain,LCM,Right,55M,135000,25,3,72,55,90,89,88,87,77,84,64,86
64,191043,Alex Sandro,Brazil,Juventus,LB,Left,36.5M,160000,27,3,84,76,80,71,81,79,92,82,60,86
65,190483,Douglas Costa,Brazil,Juventus,LM,Left,46.5M,175000,27,3,84,50,92,68,91,93,78,48,77,86
66,189596,T. Müller,Germany,FC Bayern München,CAM,Right,45M,135000,28,4,79,82,75,72,82,75,87,58,60,86
67,189509,Thiago,Spain,FC Bayern München,CM,Right,45.5M,130000,27,3,72,54,90,87,90,90,75,78,75,86
68,188350,M. Reus,Germany,Borussia Dortmund,LM,Right,43.5M,100000,29,4,79,49,87,75,86,86,73,50,89,86
69,184432,Azpilicueta,Spain,Chelsea,RB,Right,35M,175000,28,3,81,76,69,80,77,72,87,89,66,86
70,184344,L. Bonucci,Italy,Juventus,RCB,Right,30M,160000,31,3,44,86,69,85,75,60,71,90,70,86
71,184087,T. Alderweireld,Belgium,Tottenham Hotspur,RCB,Right,39M,150000,29,3,64,82,62,85,74,60,74,87,58,86
72,180206,M. Pjanić,Bosnia Herzegovina,Juventus,CDM,Right,44M,180000,28,3,80,60,86,85,89,77,78,78,79,86
73,177509,M. Benatia,Morocco,Juventus,CB,Right,30M,160000,31,3,45,83,64,65,64,59,69,86,41,86
74,176635,M. Özil,Germany,Arsenal,CAM,Left,43.5M,190000,29,4,83,54,84,82,90,79,69,24,67,86
75,135507,Fernandinho,Brazil,Manchester City,CDM,Right,18M,185000,33,3,68,63,77,81,82,72,79,88,61,86
76,41,Iniesta,Spain,Vissel Kobe,LF,Right,21.5M,21000,34,4,77,54,90,85,92,79,55,66,71,86
77,232363,M. Škriniar,Slovakia,Inter,LCB,Right,46.5M,82000,23,1,40,80,59,68,67,48,77,86,56,85
78,223848,S. Milinković-Savić,Serbia,Lazio,CM,Right,50.5M,73000,23,2,64,86,86,85,87,66,85,78,56,85
79,220834,Marco Asensio,Spain,Real Madrid,RW,Left,54M,215000,22,3,82,50,86,82,85,79,76,45,62,85
80,216594,N. Fekir,France,Olympique Lyonnais,CAM,Left,50M,92000,24,3,83,49,90,75,89,90,80,28,81,85
81,212831,Alisson,Brazil,Liverpool,GK,Right,36.5M,115000,25,3,17,19,27,44,30,40,32,11,23,85
82,212622,J. Kimmich,Germany,FC Bayern München,RCM,Right,40.5M,92000,23,3,90,74,80,80,85,84,85,79,44,85
83,208421,Saúl,Spain,Atlético Madrid,RCM,Left,50.5M,77000,23,3,69,83,83,83,85,76,86,78,55,85
84,204485,R. Mahrez,Algeria,Manchester City,RW,Left,40.5M,205000,27,3,81,48,91,76,90,93,76,39,73,85
85,197445,D. Alaba,Austria,FC Bayern München,LB,Left,38M,110000,26,4,81,75,79,80,83,79,87,84,80,85
86,193747,Koke,Spain,Atlético Madrid,LM,Right,45M,88000,26,3,86,61,82,89,86,74,90,66,59,85
87,193301,A. Lacazette,France,Arsenal,ST,Right,45M,180000,27,3,64,73,85,59,83,85,79,42,84,85
88,192774,K. Manolas,Greece,Roma,LCB,Right,37.5M,96000,27,3,27,80,54,61,65,68,76,86,26,85
89,192366,N. Otamendi,Argentina,Manchester City,CB,Right,28.5M,170000,30,3,52,85,51,72,70,64,67,84,45,85
90,189513,Parejo,Spain,Valencia CF,RCM,Right,37M,66000,29,2,84,61,78,87,84,66,78,81,83,85
91,187961,Paulinho,Brazil,Guangzhou Evergrande Taobao FC,LDM,Right,37M,235000,29,3,64,85,82,80,84,69,92,81,71,85
92,186153,W. Szczęsny,Poland,Juventus,GK,Right,32M,125000,28,3,12,16,11,36,22,55,45,15,18,85
93,184941,A. Sánchez,Chile,Manchester United,RW,Right,37.5M,215000,29,4,77,73,87,75,86,90,83,46,77,85
94,184267,Y. Brahimi,Algeria,FC Porto,LM,Right,39M,28000,28,3,79,46,93,72,86,92,85,38,75,85
95,183907,J. Boateng,Germany,FC Bayern München,RCB,Right,30M,115000,29,4,69,85,64,83,70,56,69,81,46,85
96,181872,A. Vidal,Chile,FC Barcelona,CAM,Right,26M,205000,31,4,76,82,76,79,82,74,83,84,81,85
97,181458,I. Perišić,Croatia,Inter,LM,Right,37.5M,110000,29,3,83,80,84,77,85,78,89,69,76,85
98,180930,E. Džeko,Bosnia Herzegovina,Roma,ST,Right,30.5M,115000,32,3,63,84,76,72,84,57,76,50,67,85
99,179846,S. Khedira,Germany,Juventus,RCM,Right,33M,160000,31,3,72,76,81,82,84,55,78,86,69,85
100,179844,Diego Costa,Spain,Atlético Madrid,LS,Right,38.5M,100000,29,4,65,82,77,52,83,58,76,40,75,85
101,178518,R. Nainggolan,Belgium,Inter,CAM,Right,35.5M,105000,30,3,73,59,80,81,85,76,93,86,63,85
102,171919,Naldo,Brazil,FC Schalke 04,CB,Right,9M,38000,35,3,45,94,60,70,68,46,61,83,60,85
103,170890,B. Matuidi,France,Juventus,LM,Left,26M,145000,31,3,75,68,78,77,79,83,94,86,56,85
104,168609,Miranda,Brazil,Inter,CB,Right,15.5M,96000,33,3,48,80,67,69,73,61,65,85,49,85
105,165153,K. Benzema,France,Real Madrid,ST,Right,37M,240000,30,4,75,80,83,62,86,76,75,22,82,85
106,164169,Filipe Luís,Brazil,Atlético Madrid,LB,Left,21.5M,81000,32,3,86,72,77,77,83,75,89,84,65,85
107,139720,V. Kompany,Belgium,Manchester City,CB,Right,22M,170000,32,4,61,84,63,66,70,57,66,82,63,85
108,120533,Pepe,Portugal,Beşiktaş JK,RCB,Right,9M,57000,35,4,46,80,58,61,62,63,60,85,57,85
109,41236,Z. Ibrahimović,Sweden,LA Galaxy,RS,Right,14M,15000,36,5,73,83,79,73,84,75,61,20,89,85
110,220793,D. Sánchez,Colombia,Tottenham Hotspur,RCB,Right,34M,105000,22,2,36,80,63,67,73,60,76,82,44,84
111,216460,J. Giménez,Uruguay,Atlético Madrid,RCB,Right,34M,63000,23,2,47,81,47,58,56,56,67,85,38,84
112,212462,Alex Telles,Brazil,FC Porto,LB,Left,32M,22000,25,3,89,74,82,86,82,73,92,80,68,84
113,212218,A. Laporte,France,Manchester City,LCB,Left,34M,135000,24,2,58,85,59,78,73,45,67,85,44,84
114,212198,Bruno Fernandes,Portugal,Sporting CP,LCM,Right,40.5M,22000,23,2,84,58,83,82,85,77,89,70,81,84
115,212190,N. Süle,Germany,FC Bayern München,CB,Right,36.5M,84000,22,2,30,86,42,63,63,33,65,82,32,84
116,211300,A. Martial,France,Manchester United,LW,Right,42.5M,165000,22,3,76,69,87,60,86,85,75,42,81,84
117,211117,D. Alli,England,Tottenham Hotspur,LCM,Right,42.5M,115000,22,3,69,77,83,80,85,76,90,74,74,84
118,209499,Fabinho,Brazil,Liverpool,CDM,Right,34M,120000,24,3,79,75,76,78,82,69,92,84,91,84
119,207865,Marquinhos,Brazil,Paris Saint-Germain,LDM,Right,35.5M,90000,24,3,72,80,59,78,76,69,75,84,31,84
120,207566,William Carvalho,Portugal,Real Betis,CDM,Right,31.5M,38000,26,3,68,73,80,86,79,51,84,84,60,84
121,205498,Jorginho,Italy,Chelsea,CM,Right,38M,155000,26,2,75,56,82,87,85,80,79,78,84,84
122,204970,F. Thauvin,France,Olympique de Marseille,RM,Left,39M,72000,25,2,83,75,85,76,86,86,83,42,74,84
123,204963,Carvajal,Spain,Real Madrid,RB,Right,31.5M,185000,26,3,83,70,76,71,83,81,84,83,45,84
124,202556,M. Depay,Netherlands,Olympique Lyonnais,ST,Right,42M,93000,24,3,79,65,85,74,85,82,79,28,75,84
125,200104,H. Son,Korea Republic,Tottenham Hotspur,LM,Right,37M,125000,25,3,78,65,88,64,85,82,85,39,71,84
126,199482,A. Lopes,Portugal,Olympique Lyonnais,GK,Left,25M,72000,27,2,19,16,15,31,21,67,36,25,16,84
127,198176,S. de Vrij,Netherlands,Inter,CB,Right,31.5M,88000,26,3,49,80,63,71,71,61,66,87,41,84
128,198009,M. Perin,Italy,Juventus,GK,Right,29.5M,105000,25,2,11,12,19,31,23,70,30,19,21,84
129,193082,J. Cuadrado,Colombia,Juventus,RAM,Right,29.5M,150000,30,3,80,58,90,69,85,91,78,62,65,84
130,192629,Iago Aspas,Spain,RC Celta,ST,Left,30M,45000,30,2,80,78,86,64,85,87,75,39,82,84
131,192563,B. Leno,Germany,Arsenal,GK,Right,27M,115000,26,3,9,13,16,40,22,52,43,22,23,84
132,191202,N. Matić,Serbia,Manchester United,CDM,Left,24M,165000,29,3,71,74,80,83,79,44,84,86,64,84
133,190941,L. Hrádecký,Finland,Bayer 04 Leverkusen,GK,Right,22M,74000,28,2,11,11,10,20,20,43,34,18,20,84
134,190584,Illarramendi,Spain,Real Sociedad,RDM,Right,31M,51000,28,2,68,51,78,82,83,71,77,87,50,84
135,188377,K. Walker,England,Manchester City,RB,Right,24.5M,165000,28,3,81,74,79,67,78,67,89,81,63,84
136,186942,I. Gündoğan,Germany,Manchester City,CM,Right,32M,175000,27,3,74,50,85,83,86,78,69,77,76,84
137,185020,José Callejón,Spain,Napoli,RM,Right,27.5M,105000,31,3,82,65,82,51,85,85,91,40,62,84
138,183898,A. Di María,Argentina,Paris Saint-Germain,RM,Left,29.5M,125000,30,4,83,51,86,79,85,92,73,38,73,84
139,181783,M. Mandžukić,Croatia,Juventus,ST,Right,25M,160000,32,3,72,90,76,67,77,67,83,66,76,84
140,180403,Willian,Brazil,Chelsea,RW,Right,30.5M,175000,29,3,76,31,88,77,84,89,85,55,70,84
141,178750,Sergio Asenjo,Spain,Villarreal CF,GK,Right,24M,42000,29,2,24,13,15,39,14,62,41,22,15,84
142,178562,E. Banega,Argentina,Sevilla FC,CDM,Right,29M,31000,30,3,80,49,84,87,86,79,74,76,78,84
143,177413,A. Witsel,Belgium,Borussia Dortmund,LCM,Right,24M,77000,29,3,69,80,78,79,84,78,86,80,81,84
144,177388,D. Payet,France,Olympique de Marseille,CAM,Right,27.5M,75000,31,3,87,59,86,80,90,79,73,37,74,84
145,176769,Jonas,Brazil,SL Benfica,ST,Right,16.5M,25000,34,3,70,84,84,75,88,77,66,34,84,84
146,172879,Sokratis,Greece,Arsenal,RCB,Right,23M,140000,30,3,47,85,58,51,58,60,69,77,24,84
147,167628,S. Ruffier,France,AS Saint-Étienne,GK,Right,19M,41000,31,3,11,12,12,34,15,51,37,25,25,84
148,167397,Falcao,Colombia,AS Monaco,RS,Right,25M,115000,32,3,55,89,75,58,82,76,68,41,81,84
149,163587,K. Schmeichel,Denmark,Leicester City,GK,Right,19M,78000,31,2,18,16,12,46,40,62,34,20,26,84
150,157481,Raúl Albiol,Spain,Napoli,RCB,Right,18M,88000,32,3,38,77,59,72,71,53,55,86,37,84
151,143076,A. Gómez,Argentina,Atalanta,LS,Right,30M,53000,30,3,82,38,89,74,87,92,75,40,72,84
152,137186,A. Barzagli,Italy,Juventus,CB,Right,4.2M,95000,37,3,40,72,64,65,65,52,53,90,60,84
153,20775,Quaresma,Portugal,Beşiktaş JK,RM,Right,15.5M,80000,34,3,92,41,89,75,88,91,65,24,74,84
154,9014,A. Robben,Netherlands,FC Bayern München,RM,Left,15.5M,110000,34,4,80,51,89,71,88,87,64,37,78,84
155,231443,O. Dembélé,France,FC Barcelona,RW,Left,40M,155000,21,3,78,43,90,70,83,90,73,36,75,83
156,230666,Gabriel Jesus,Brazil,Manchester City,ST,Right,41M,130000,21,2,66,74,86,66,85,92,84,32,78,83
157,230481,Ronaldo Cabrais,Brazil,Grêmio,RW,Right,28M,51000,26,1,83,64,85,82,83,85,86,40,77,83
158,230375,Josué Chiamulera,Brazil,Grêmio,LCB,Right,22.5M,43000,26,1,40,83,56,61,70,77,76,84,56,83
159,230294,Louri Beretta,Brazil,Atlético Mineiro,ST,Right,28.5M,60000,26,1,56,83,75,47,74,55,56,32,77,83
160,225850,P. Kimpembe,France,Paris Saint-Germain,LCB,Left,30.5M,82000,22,2,62,79,58,75,78,74,80,83,50,83
161,220971,N. Keïta,Guinea,Liverpool,CM,Right,34M,120000,23,2,62,42,88,78,88,89,82,75,58,83
162,219683,C. Tolisso,France,FC Bayern München,CM,Right,34M,85000,23,2,67,82,77,86,81,75,87,76,70,83
163,213565,T. Lemar,France,Atlético Madrid,LM,Left,35.5M,64000,22,3,83,54,85,75,86,87,79,66,68,83
164,213345,K. Coman,France,FC Bayern München,LM,Right,34M,85000,22,2,81,52,88,63,83,87,76,23,70,83
165,213331,J. Tah,Germany,Bayer 04 Leverkusen,CB,Right,29.5M,67000,22,2,35,80,55,69,64,48,63,80,38,83
166,212523,Anderson Talisca,Brazil,Guangzhou Evergrande Taobao FC,CAM,Left,36.5M,18000,24,2,78,77,82,79,84,76,76,58,71,83
167,212188,T. Werner,Germany,RB Leipzig,RW,Right,34.5M,70000,22,3,69,76,83,55,84,81,83,37,72,83
168,210008,A. Rabiot,France,Paris Saint-Germain,CM,Left,33M,91000,23,2,70,77,79,83,83,79,82,80,69,83
169,209658,L. Goretzka,Germany,FC Bayern München,CM,Right,34M,85000,23,3,75,75,81,79,83,76,86,83,60,83
170,208808,Q. Promes,Netherlands,Sevilla FC,RM,Right,30.5M,28000,26,2,79,60,84,73,82,87,83,33,74,83
171,208670,H. Ziyech,Morocco,Ajax,RAM,Left,32.5M,28000,25,3,84,53,83,89,83,85,86,62,73,83
172,208618,Lucas Vázquez,Spain,Real Madrid,RW,Right,27M,205000,27,2,86,52,82,75,83,79,90,44,56,83
173,208418,Y. Carrasco,Belgium,Dalian YiFang FC,LM,Right,33M,20000,24,3,78,53,88,71,87,88,74,18,74,83
174,208093,Gerard Moreno,Spain,Villarreal CF,LS,Left,32M,53000,26,1,61,80,78,56,81,70,72,40,73,83
175,207863,Felipe,Brazil,FC Porto,RCB,Right,20M,22000,29,3,45,81,57,67,62,52,78,81,47,83
176,207410,M. Kovačić,Croatia,Chelsea,LCM,Right,35M,165000,24,3,73,42,88,82,89,81,82,78,59,83
177,206585,Kepa,Spain,Chelsea,GK,Right,28.5M,84000,23,1,25,17,10,36,16,41,37,21,24,83
178,206545,Manu Trigueros,Spain,Villarreal CF,RCM,Right,30M,49000,26,2,72,74,80,83,83,76,77,69,65,83
179,206113,S. Gnabry,Germany,FC Bayern München,ST,Right,34.5M,85000,22,2,74,46,87,68,83,87,68,38,68,83
180,204935,J. Pickford,England,Everton,GK,Left,25M,78000,24,1,17,15,14,55,40,55,45,24,41,83
181,204639,S. Savić,Montenegro,Atlético Madrid,CB,Right,26M,67000,27,2,35,85,47,69,68,61,58,84,37,83
182,203574,J. Stones,England,Manchester City,RCB,Right,28.5M,125000,24,2,62,83,69,74,80,61,79,81,44,83
183,202651,Suso,Spain,Milan,RW,Left,33M,115000,24,3,84,50,88,75,89,86,77,20,72,83
184,202166,J. Draxler,Germany,Paris Saint-Germain,CM,Right,32.5M,91000,24,3,83,65,88,79,89,80,69,66,63,83
185,201995,Felipe Anderson,Brazil,West Ham United,LM,Right,31.5M,110000,25,3,79,44,90,74,88,89,72,69,53,83
186,200949,Lucas Moura,Brazil,Tottenham Hotspur,RM,Right,31M,115000,25,3,75,50,88,74,81,94,75,50,74,83
187,200888,Danilo Pereira,Portugal,FC Porto,CDM,Right,27M,21000,26,3,50,78,76,79,78,58,83,84,52,83
188,200724,Nacho Fernández,Spain,Real Madrid,CB,Right,24.5M,180000,28,2,70,82,55,61,78,60,78,81,45,83
189,200316,T. Horn,Germany,1. FC Köln,GK,Left,24M,25000,25,2,19,14,20,32,22,50,31,22,21,83
190,199914,Allan,Brazil,Napoli,RCM,Right,26.5M,87000,27,2,70,59,82,77,80,82,95,86,53,83
191,199845,F. Acerbi,Italy,Lazio,CB,Left,19M,64000,30,2,25,80,65,77,72,33,81,85,72,83
192,199564,Sergi Roberto,Spain,FC Barcelona,RB,Right,26.5M,170000,26,3,85,72,78,78,83,69,85,81,57,83
193,198329,Rodrigo,Spain,Valencia CF,ST,Left,30.5M,57000,27,2,72,80,82,58,82,84,78,31,77,83
194,197965,Pizzi,Portugal,SL Benfica,LCM,Right,25.5M,22000,28,3,79,45,80,84,82,77,86,70,76,83
195,195365,K. Kampl,Slovenia,RB Leipzig,LCM,Right,26.5M,74000,27,2,72,34,86,79,84,91,88,75,64,83
196,194404,Neto,Brazil,Valencia CF,GK,Right,21M,41000,28,2,11,14,19,41,24,59,39,15,22,83
197,193698,O. Baumann,Germany,TSG 1899 Hoffenheim,GK,Right,21M,42000,28,2,14,16,19,25,17,45,39,21,22,83
198,193474,I. Gueye,Senegal,Everton,RDM,Right,21M,125000,28,2,60,69,75,72,79,80,89,87,54,83
199,192883,H. Mkhitaryan,Armenia,Arsenal,RM,Right,25.5M,145000,29,3,77,53,84,71,86,87,83,64,72,83
200,192638,Marcos Alonso,Spain,Chelsea,LB,Left,24M,130000,27,2,85,83,79,73,83,64,90,79,64,83
201,192593,D. Subašić,Croatia,AS Monaco,GK,Right,13M,70000,33,3,11,13,11,26,19,42,32,20,23,83
202,190547,K. Glik,Poland,AS Monaco,RCB,Right,19M,86000,30,3,29,85,51,59,59,34,67,83,39,83
203,189712,K. Strootman,Netherlands,Olympique de Marseille,CDM,Left,21M,66000,28,3,74,68,75,84,84,65,79,83,77,83
204,189068,B. Dost,Netherlands,Sporting CP,ST,Right,26M,26000,29,3,38,94,68,37,74,32,82,39,88,83
205,188152,Oscar,Brazil,Shanghai SIPG FC,LCM,Right,30.5M,29000,26,3,74,54,78,82,84,86,76,45,68,83
206,186627,M. Balotelli,Italy,OGC Nice,LS,Right,27.5M,55000,27,4,68,67,81,66,85,71,66,30,92,83
207,185221,Luiz Gustavo,Brazil,Olympique de Marseille,LCB,Left,19M,63000,30,3,63,72,68,77,73,65,85,83,58,83
208,184942,Giuliano,Brazil,Al Nassr,CAM,Right,26M,64000,28,2,77,59,84,79,84,85,82,42,79,83
209,179944,David Luiz,Brazil,Chelsea,LCB,Right,17.5M,130000,31,4,68,81,66,77,79,69,66,85,75,83
210,179783,R. Fährmann,Germany,FC Schalke 04,GK,Right,20M,38000,29,2,14,15,15,26,24,39,32,23,21,83
211,178088,Juan Mata,Spain,Manchester United,RM,Left,24.5M,160000,30,3,83,56,82,79,88,84,71,39,81,83
212,178086,Adán,Spain,Atlético Madrid,GK,Left,15.5M,55000,31,2,12,23,12,43,15,55,32,20,25,83
213,178005,Rui Patrício,Portugal,Wolverhampton Wanderers,GK,Left,16.5M,74000,30,3,12,11,20,30,23,61,45,22,32,83
214,177683,Y. Sommer,Switzerland,Borussia Mönchengladbach,GK,Right,20M,35000,29,3,13,10,15,31,25,55,45,21,24,83
215,177610,Javi Martínez,Spain,FC Bayern München,CDM,Right,20M,94000,29,3,60,87,60,74,74,53,74,87,52,83
216,177457,L. Bender,Germany,Bayer 04 Leverkusen,RB,Right,20M,82000,29,3,69,78,72,74,75,65,86,86,52,83
217,176266,Lucas Leiva,Brazil,Lazio,LDM,Right,17.5M,64000,31,3,63,72,77,81,78,78,80,87,61,83
218,163705,S. Mandanda,France,Olympique de Marseille,GK,Right,13M,51000,33,3,14,13,15,28,17,52,31,23,11,83
219,162895,Cesc Fàbregas,Spain,Chelsea,CM,Right,22M,140000,31,4,85,74,79,89,85,62,56,50,78,83
220,162240,M. Dembélé,Belgium,Tottenham Hotspur,CM,Left,24M,120000,30,3,65,70,89,80,89,79,70,82,63,83
221,156616,F. Ribéry,France,FC Bayern München,LM,Right,11.5M,72000,35,4,80,41,84,74,87,84,58,33,78,83
222,104389,R. Jarstein,Norway,Hertha BSC,GK,Right,13M,33000,33,2,18,16,11,34,23,35,31,19,13,83
223,53302,D. De Rossi,Italy,Roma,RDM,Right,8M,80000,34,3,57,81,64,80,77,64,74,87,75,83
224,24630,Pepe Reina,Spain,Milan,GK,Right,6M,56000,35,3,11,13,10,22,23,50,34,22,24,83
